title,author,year,categories
1984,George Orwell,1949,Fiction|Classics
Clean Code,Robert C. Martin,2008,Programming|Software Engineering
The Forever War,Joe Haldeman,1983,Fiction|Classics
The Hobbit,J.R.R. Tolkien,1937,Fiction|Fantasy
To Kill a Mockingbird,Harper Lee,1960,Fiction|Classics
Brave New World,Aldous Huxley,1932,Fiction|Dystopian
The Pragmatic Programmer,Andrew Hunt & David Thomas,1999,Programming|Software Engineering
Dune,Frank Herbert,1965,Science Fiction|Classics
Neuromancer,William Gibson,1984,Science Fiction|Cyberpunk
The Great Gatsby,F. Scott Fitzgerald,1925,Fiction|Classics
Effective Java,Joshua Bloch,2001,Programming|Java
Foundation,Isaac Asimov,1951,Science Fiction|Classics
A Game of Thrones,George R.R. Martin,1996,Fiction|Fantasy
The Catcher in the Rye,J.D. Salinger,1951,Fiction|Classics
Snow Crash,Neal Stephenson,1992,Science Fiction|Cyberpunk
Pride and Prejudice,Jane Austen,1813,Fiction|Romance
The Martian,Andy Weir,2011,Science Fiction|Survival
The Name of the Wind,Patrick Rothfuss,2007,Fiction|Fantasy
Harry Potter and the Philosopher's Stone,J.K. Rowling,1997,Fiction|Fantasy
The Road,Cormac McCarthy,2006,Fiction|Post-Apocalyptic
Refactoring,Martin Fowler,1999,Programming|Software Engineering
Ender's Game,Orson Scott Card,1985,Science Fiction|Classics